id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,trialtype,colourfreq
32,20,0,1,Practice,1,NA,5.907684681005776e-06,1.529649647171027,"[33, 0, 221]",221,a,0.8964305420522578,colour,0.5
32,20,0,1,Practice,2,NA,3.547930363449268,4.8578931884112535,"[56, 0, 198]",198,a,0.786739942865097,colour,0.5
32,20,0,1,Practice,3,NA,6.864064741836046,12.337578065038542,"[14, 0, 240]",240,a,4.950037592527224,colour,0.5
32,20,0,1,Practice,4,NA,14.345891348362784,15.449578959844075,"[79, 0, 175]",175,a,0.5809152882429771,colour,0.5
32,20,0,1,Practice,5,NA,17.456478732958203,18.585566993264365,"[34, 0, 220]",220,a,0.6067330190708162,colour,0.5
32,20,0,1,Practice,6,NA,20.596847899767454,21.61768348950136,"[27, 0, 227]",227,a,0.49746777264226694,colour,0.5
32,20,0,1,Practice,7,NA,23.61606596749334,24.257581420592032,"[86, 0, 168]",168,l,0.11827839259058237,colour,0.5
32,20,0,1,Practice,8,NA,26.264186203683494,27.08958047220949,"[57, 0, 197]",197,a,0.31134285834559705,colour,0.5
32,20,0,1,Practice,9,NA,29.098893334521563,30.409546176175354,"[69, 0, 185]",185,l,0.7888895496726036,colour,0.5
32,20,0,1,Practice,10,NA,32.42884892060829,32.98551792015496,"[39, 0, 215]",215,a,0.045589150991872884,colour,0.5
32,20,0,1,1,1,1,5.932227127341321,6.575930784078082,"[82, 0, 172]",172,l,0.11637927129049785,colour,0.5
32,20,0,1,1,2,2,8.586524430807913,9.216198535767035,"[62, 0, 192]",192,a,0.10570882477622945,colour,0.5
32,20,0,1,1,3,3,11.215921662631445,11.775927318245522,"[38, 0, 216]",216,a,0.03305463537981268,colour,0.5
32,20,0,1,1,4,4,13.783263865610934,14.41596151975682,"[48, 0, 206]",206,a,0.10984380495210644,colour,0.5
32,20,0,1,1,5,5,16.419742826998117,17.343946147186216,"[97, 0, 157]",157,l,0.4012742465711199,colour,0.5
32,20,0,1,1,6,6,19.357929225239786,20.383941121734097,"[13, 0, 241]",241,a,0.5029926323477412,colour,0.5
32,20,0,1,1,7,7,22.405124476732453,23.472045856178738,"[8, 0, 246]",246,a,0.5441447239136323,colour,0.5
32,20,0,1,1,8,8,25.48351817142975,26.359924050906557,"[20, 0, 234]",234,a,0.36496881337370723,colour,0.5
32,20,0,1,1,9,9,28.373903190498822,29.25589418798336,"[81, 0, 173]",173,l,0.35872164166357834,colour,0.5
32,20,0,1,1,10,10,31.265868316302658,32.191859693455626,"[68, 0, 186]",186,l,0.4028141810995294,colour,0.5
32,20,0,1,1,11,11,34.203646297130035,35.16795723157702,"[73, 0, 181]",181,l,0.44121408280625474,colour,0.5
32,20,0,1,1,12,12,37.18809020156914,38.15989246452227,"[71, 0, 183]",183,l,0.4483458306931425,colour,0.5
32,20,0,1,1,13,13,40.17276293004397,41.03192311828025,"[54, 0, 200]",200,a,0.3358171833824599,colour,0.5
32,20,0,1,1,14,14,43.04797152026731,44.03986815639655,"[43, 0, 211]",211,a,0.46878954450949095,colour,0.5
32,20,0,1,1,15,15,46.04812196911371,46.95187803088629,"[88, 0, 166]",166,l,0.37892117150477134,colour,0.5
32,20,0,1,1,16,16,48.97156792509486,49.89586379889806,"[10, 0, 244]",244,a,0.4006882050016429,colour,0.5
32,20,0,1,1,17,17,51.89888380347111,52.72790696118318,"[21, 0, 233]",233,a,0.31048112516873516,colour,0.5
32,20,0,1,1,18,18,54.73787912026455,55.639910534140654,"[17, 0, 237]",237,a,0.3784745511075016,colour,0.5
32,20,0,1,1,19,19,57.64860348419461,58.51982321079413,"[78, 0, 176]",176,l,0.34780858653539326,colour,0.5
32,20,0,1,1,20,20,60.539509166555945,61.359968949254835,"[27, 0, 227]",227,a,0.29730976196879055,colour,0.5
32,20,0,1,1,21,21,63.367848609079374,64.35179902554955,"[64, 0, 190]",190,l,0.46066766991862096,colour,0.5
32,20,0,1,1,22,22,66.37009116333502,67.31980737822596,"[58, 0, 196]",196,a,0.4262916840816615,colour,0.5
32,20,0,1,1,23,23,69.3378450920427,70.25584968348267,"[80, 0, 174]",174,l,0.394767924779444,colour,0.5
32,20,0,1,1,24,24,72.27684241744282,73.1438444563828,"[40, 0, 214]",214,a,0.343605864996789,colour,0.5
32,20,0,1,1,25,25,75.15256300636975,76.05576768492756,"[49, 0, 205]",205,a,0.3798384368419647,colour,0.5
32,20,0,1,1,26,26,78.07466595039295,79.01577901191195,"[28, 0, 226]",226,a,0.4177078291249927,colour,0.5
32,20,0,1,1,27,27,81.02797048840148,81.96785357153567,"[16, 0, 238]",238,a,0.4164325585588813,colour,0.5
32,20,0,1,1,28,28,83.98133843546384,84.87179474050936,"[2, 0, 252]",252,a,0.3676079696888337,colour,0.5
32,20,0,1,1,29,29,86.88775216428621,87.87176756520057,"[47, 0, 207]",207,a,0.4604924088343978,colour,0.5
32,20,0,1,1,30,30,89.88798886521545,90.76774676072819,"[67, 0, 187]",187,l,0.3563786568993237,colour,0.5
32,20,0,1,1,31,31,92.77887918760825,93.71975869896414,"[95, 0, 159]",159,l,0.41752075268595945,colour,0.5
32,20,0,1,1,32,32,95.73216009490716,97.00772290946043,"[26, 0, 228]",228,a,0.7523076371726347,colour,0.5
32,20,0,1,1,33,33,99.02193047924084,99.98368772176036,"[51, 0, 203]",203,a,0.43672542966669425,colour,0.5
32,20,0,1,1,34,34,101.98415994209063,102.90388681835611,"[90, 0, 164]",164,l,0.39630982851667795,colour,0.5
32,20,0,1,1,35,35,104.91270658654685,105.83970463190053,"[86, 0, 168]",168,l,0.40892705161240883,colour,0.5
32,20,0,1,1,36,36,107.86188283973024,108.7917039670865,"[99, 0, 155]",155,l,0.4068077708798228,colour,0.5
32,20,0,1,1,37,37,110.79954148548131,111.65567576147441,"[14, 0, 240]",240,a,0.3328326248738449,colour,0.5
32,20,0,1,1,38,38,113.6637393469864,114.75169835872657,"[65, 0, 189]",189,l,0.5646577544684988,colour,0.5
32,20,0,1,1,39,39,116.75762415278587,117.75169245105644,"[25, 0, 229]",229,a,0.47865497156453785,colour,0.5
32,20,0,1,1,40,40,119.76537856986397,120.70378355216235,"[39, 0, 215]",215,a,0.415318370636669,colour,0.5
32,20,0,1,1,41,41,122.71061085775727,123.66363379648828,"[34, 0, 220]",220,a,0.4422601355036022,colour,0.5
32,20,0,1,1,42,42,125.67303251703561,126.86364057062019,"[35, 0, 219]",219,a,0.6677282106102211,colour,0.5
32,20,0,1,1,43,43,128.8761656339484,129.95962338951358,"[57, 0, 197]",197,a,0.5602809533593245,colour,0.5
32,20,0,1,1,44,44,131.97024736231833,132.97565209925233,"[89, 0, 165]",165,l,0.48218303637986537,colour,0.5
32,20,0,1,1,45,45,134.9746564587258,135.82366646987794,"[29, 0, 225]",225,a,0.33728268116828986,colour,0.5
32,20,0,1,1,46,46,137.83394543433678,138.71159547062416,"[72, 0, 182]",182,l,0.35213615698739886,colour,0.5
32,20,0,1,1,47,47,140.73175679746782,141.58364542279742,"[22, 0, 232]",232,a,0.3288713304064004,colour,0.5
32,20,0,1,1,48,48,143.58214959893667,144.52760480318102,"[11, 0, 243]",243,a,0.42217009463638533,colour,0.5
32,20,0,1,1,49,49,146.53004309847893,147.37557466930593,"[87, 0, 167]",167,l,0.32262100794469006,colour,0.5
32,20,0,1,1,50,50,149.38973300844373,150.3036368842295,"[84, 0, 170]",170,l,0.3901634811772965,colour,0.5
32,20,0,1,2,1,51,161.4135626089701,162.53556086897152,"[78, 0, 176]",176,l,0.5982566838501953,colour,0.5
32,20,0,1,2,2,52,164.55671429174254,165.39163252357685,"[33, 0, 221]",221,a,0.3114897625928279,colour,0.5
32,20,0,1,2,3,53,167.4024376651505,168.39957795554074,"[53, 0, 201]",201,a,0.474012718826998,colour,0.5
32,20,0,1,2,4,54,170.4182430646906,171.27157592015283,"[6, 0, 248]",248,a,0.3299095061956905,colour,0.5
32,20,0,1,2,5,55,173.27798653759237,174.12756250421808,"[9, 0, 245]",245,a,0.3268406648276141,colour,0.5
32,20,0,1,2,6,56,176.13757010936388,177.12769759309595,"[50, 0, 204]",204,a,0.4667336728598457,colour,0.5
32,20,0,1,2,7,57,179.13782689640357,180.25549207210133,"[70, 0, 184]",184,l,0.5942040173104033,colour,0.5
32,20,0,1,2,8,58,182.26308461881126,183.22353193238087,"[68, 0, 186]",186,l,0.4375942520709941,colour,0.5
32,20,0,1,2,9,59,185.23206852590374,186.1115495482809,"[76, 0, 178]",178,l,0.35633021395187825,colour,0.5
32,20,0,1,2,10,60,188.12289622692333,189.07955790094275,"[62, 0, 192]",192,l,0.4321264999016421,colour,0.5
32,20,0,1,2,11,61,191.09338029018545,191.9994978474424,"[94, 0, 160]",160,l,0.38315185604733415,colour,0.5
32,20,0,1,2,12,62,194.0155423109827,194.9594780606567,"[56, 0, 198]",198,a,0.42080069505027495,colour,0.5
32,20,0,1,2,13,63,196.971545475928,197.96745539408585,"[36, 0, 218]",218,a,0.47286741714924574,colour,0.5
32,20,0,1,2,14,64,199.98757024720544,201.08750372676877,"[10, 0, 244]",244,a,0.5781327722943388,colour,0.5
32,20,0,1,2,15,65,203.09592649905244,204.15145472611766,"[2, 0, 252]",252,a,0.5308351210551336,colour,0.5
32,20,0,1,2,16,66,206.1483465002384,207.13567374498234,"[13, 0, 241]",241,a,0.46432727901265025,colour,0.5
32,20,0,1,2,17,67,209.14859816728858,210.09545979254472,"[82, 0, 172]",172,l,0.4238112473540241,colour,0.5
32,20,0,1,2,18,68,212.10178849019576,213.46349429653492,"[92, 0, 162]",162,l,0.8386471576814074,colour,0.5
32,20,0,1,2,19,69,215.4770874678943,216.5594519093429,"[86, 0, 168]",168,l,0.5595645490539027,colour,0.5
32,20,0,1,2,20,70,218.57097148601315,219.5994543669367,"[90, 0, 164]",164,l,0.505194620549446,colour,0.5
32,20,0,1,2,21,71,221.61821045431134,222.60764437673788,"[57, 0, 197]",197,a,0.46651666417892557,colour,0.5
32,20,0,1,2,22,72,224.61837429388834,225.98349906993099,"[23, 0, 231]",231,a,0.8420830627292162,colour,0.5
32,20,0,1,2,23,73,227.99489537306363,229.1514377907879,"[61, 0, 193]",193,a,0.6337362237973139,colour,0.5
32,20,0,1,2,24,74,231.16702539395192,232.10347178434313,"[52, 0, 202]",202,a,0.41375677462201566,colour,0.5
32,20,0,1,2,25,75,234.12042012249003,235.19139535003342,"[5, 0, 249]",249,a,0.5483884053537622,colour,0.5
32,20,0,1,2,26,76,237.19873859276413,238.1354169579572,"[75, 0, 179]",179,l,0.4137859191687312,colour,0.5
32,20,0,1,2,27,77,240.15376896019734,240.87935302271217,"[60, 0, 194]",194,a,0.20252383846673183,colour,0.5
32,20,0,1,2,28,78,242.88817791087786,243.8073356809182,"[43, 0, 211]",211,a,0.3962302718136925,colour,0.5
32,20,0,1,2,29,79,245.82603505458974,246.78345094206452,"[45, 0, 209]",209,a,0.4345198968658224,colour,0.5
32,20,0,1,2,30,80,248.79501226631692,250.24734262833954,"[25, 0, 229]",229,a,0.9295277127093868,colour,0.5
32,20,0,1,2,31,81,252.26547407731414,253.23132534012257,"[42, 0, 212]",212,a,0.4427721342071891,colour,0.5
32,20,0,1,2,32,82,255.25007630749315,256.1833207368618,"[40, 0, 214]",214,a,0.41042642008687835,colour,0.5
32,20,0,1,2,33,83,258.19016970394296,259.5113208817929,"[47, 0, 207]",207,a,0.798255581088597,colour,0.5
