id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,accuracy,trialtype,colourfreq,credits
76,21,1,1,Practice,1,NA,5.5138953030109406e-06,1.8422658280469477,"[58, 0, 196]",196,a,1.318914103321731,0,colour,0.5,4
76,21,1,1,Practice,2,NA,2.360423904377967,3.6102617383003235,"[26, 0, 228]",228,a,0.7282068226486444,1,colour,0.5,4
76,21,1,1,Practice,3,NA,4.126111088786274,6.370242880657315,"[74, 0, 180]",180,l,1.7219328545033932,1,colour,0.5,4
76,21,1,1,Practice,4,NA,6.876331544481218,7.802257761824876,"[37, 0, 217]",217,a,0.40382298501208425,1,colour,0.5,4
76,21,1,1,Practice,5,NA,8.314113119617105,9.338246431667358,"[9, 0, 245]",245,a,0.502313254866749,1,colour,0.5,4
76,21,1,1,Practice,6,NA,9.845285445917398,11.09028566814959,"[16, 0, 238]",238,a,0.7227855315431952,1,colour,0.5,4
76,21,1,1,Practice,7,NA,11.59545430727303,13.154278960544616,"[72, 0, 182]",182,l,1.0365252853371203,1,colour,0.5,4
76,21,1,1,Practice,8,NA,13.673637085594237,14.730254428461194,"[50, 0, 204]",204,a,0.534241568762809,1,colour,0.5,4
76,21,1,1,Practice,9,NA,15.236291891895235,16.762220551259816,"[18, 0, 236]",236,a,1.003599753137678,1,colour,0.5,4
76,21,1,1,Practice,10,NA,17.267778310459107,18.226231881417334,"[67, 0, 187]",187,l,0.43624872621148825,1,colour,0.5,4
76,21,1,1,1,1,1,4.833002568222582,5.463956585619599,"[33, 0, 221]",221,a,0.10797565896064043,1,colour,0.5,4.0
76,21,1,1,1,2,2,5.974518552888185,7.360095436684787,"[59, 0, 195]",195,l,0.8633771589957178,1,colour,0.5,4.0
76,21,1,1,1,3,3,7.865270377136767,9.079956660978496,"[76, 0, 178]",178,l,0.693165943492204,1,colour,0.5,4.0
76,21,1,1,1,4,4,9.599727537482977,10.535961100365967,"[20, 0, 234]",234,a,0.41417719842866063,1,colour,0.5,4.0
76,21,1,1,1,5,5,11.053003804758191,12.064001562539488,"[87, 0, 167]",167,l,0.4887298974208534,1,colour,0.5,4.0
76,21,1,1,1,6,6,12.568745635449886,13.615994955413043,"[95, 0, 159]",159,l,0.5249527087435126,1,colour,0.5,4.0
76,21,1,1,1,7,7,14.13128583272919,15.200010003522038,"[97, 0, 157]",157,l,0.5464165322482586,1,colour,0.5,4.0
76,21,1,1,1,8,8,15.70954009424895,16.743983115069568,"[72, 0, 182]",182,l,0.5121420775540173,1,colour,0.5,4.0
76,21,1,1,1,9,9,17.25658126641065,18.167979289777577,"[13, 0, 241]",241,a,0.3890612400136888,1,colour,0.5,4.0
76,21,1,1,1,10,10,18.678606241941452,19.55999792041257,"[26, 0, 228]",228,a,0.3591509936377406,1,colour,0.5,4.0
76,21,1,1,1,11,11,20.069290915504098,20.864006525371224,"[98, 0, 156]",156,l,0.27237764513120055,1,colour,0.5,4.0
76,21,1,1,1,12,12,21.381892453879118,22.37597452290356,"[90, 0, 164]",164,l,0.47181539004668593,1,colour,0.5,4.0
76,21,1,1,1,13,13,22.88204191857949,23.688001439906657,"[91, 0, 163]",163,l,0.28379248548299074,1,colour,0.5,4.0
76,21,1,1,1,14,14,24.19465330336243,25.16796235460788,"[52, 0, 202]",202,a,0.4510364648886025,0,colour,0.5,4.0
76,21,1,1,1,15,15,25.679113909136504,26.895992340520024,"[22, 0, 232]",232,a,0.6945956046693027,1,colour,0.5,4.0
76,21,1,1,1,16,16,27.413670712150633,28.22399562364444,"[68, 0, 186]",186,l,0.28805271862074733,1,colour,0.5,4.0
76,21,1,1,1,17,17,28.741848863195628,33.344009581487626,"[18, 0, 236]",236,l,4.079957448877394,0,colour,0.5,4.0
76,21,1,1,1,18,18,33.85164290899411,35.04796533193439,"[69, 0, 185]",185,l,0.6740206917747855,1,colour,0.5,4.0
76,21,1,1,1,19,19,35.55489643244073,36.68795102741569,"[62, 0, 192]",192,l,0.6114609995856881,1,colour,0.5,4.0
76,21,1,1,1,20,20,37.19569817697629,38.32798910466954,"[63, 0, 191]",191,l,0.6101364954374731,1,colour,0.5,4.0
76,21,1,1,1,21,21,38.83652433985844,40.8399886097759,"[31, 0, 223]",223,a,1.4812515480443835,1,colour,0.5,4.0
76,21,1,1,1,22,22,41.35229137679562,42.455977263860404,"[12, 0, 242]",242,a,0.5813833684660494,1,colour,0.5,4.0
76,21,1,1,1,23,23,42.96168429078534,43.91198682365939,"[19, 0, 235]",235,a,0.42799410689622164,1,colour,0.5,4.0
76,21,1,1,1,24,24,44.43055961979553,45.38396881055087,"[10, 0, 244]",244,a,0.43109209975227714,1,colour,0.5,4.0
